Tracker;Allocation Sites
1;org.graalvm.compiler.hotspot.CompilerConfigurationFactory#getAllCandidates:147
2;org.graalvm.compiler.hotspot.amd64.AMD64HotSpotBackendFactory#createNativeABICallerSaveRegisters:203
3;org.graalvm.compiler.nodes.graphbuilderconf.InvocationPlugins#<init>:543
4;org.graalvm.compiler.phases.PhaseSuite#<init>:41
5;org.graalvm.compiler.core.target.Backend#<init>:76
6;org.graalvm.compiler.core.common.FieldsScanner#<init>:94
7;org.graalvm.compiler.graph.NodeClass$NodeFieldsScanner#<init>:447
8;org.graalvm.compiler.graph.NodeClass$NodeFieldsScanner#<init>:448
9;org.graalvm.compiler.graph.Graph#<init>:275
10;org.graalvm.compiler.graph.Graph#<init>:276
11;org.graalvm.compiler.nodes.StructuredGraph#<init>:321
12;org.graalvm.compiler.nodes.InliningLog$Callsite#<init>:105
13;org.graalvm.compiler.nodes.InliningLog$Callsite#<init>:106
14;org.graalvm.compiler.code.DataSection#<init>:228
15;org.graalvm.compiler.code.CompilationResult#<init>:181
16;org.graalvm.compiler.code.CompilationResult#<init>:182
17;org.graalvm.compiler.code.CompilationResult#<init>:183
18;org.graalvm.compiler.code.CompilationResult#<init>:184
19;org.graalvm.compiler.code.CompilationResult#<init>:185
20;org.graalvm.compiler.lir.phases.LIRPhaseSuite#<init>:39
21;org.graalvm.compiler.java.BciBlockMapping#<init>:694
22;org.graalvm.compiler.java.BciBlockMapping$BciBlock#<init>:178
23;org.graalvm.compiler.nodes.cfg.ControlFlowGraph#computeLoopInformation:588
24;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#scheduleEarliestIterative:867
25;org.graalvm.compiler.java.BytecodeParser#checkLoopExit:2609
26;org.graalvm.compiler.virtual.phases.ea.EffectsClosure#applyEffects:142
27;org.graalvm.compiler.virtual.phases.ea.EffectsClosure#applyEffects:143
28;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#run:192
29;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#sortNodesLatestWithinBlock:390
30;org.graalvm.compiler.loop.LoopsData#<init>:55
31;org.graalvm.compiler.nodes.FrameState#duplicateModified:382
32;org.graalvm.compiler.core.common.alloc.ComputeBlockOrder#computeCodeEmittingOrder:89
33;org.graalvm.compiler.graph.iterators.NodeIterable#snapshot:44
34;org.graalvm.compiler.core.common.alloc.ComputeBlockOrder#computeLinearScanOrder:75
35;org.graalvm.compiler.lir.framemap.FrameMap#<init>:111
36;org.graalvm.compiler.lir.framemap.FrameMapBuilderImpl#<init>:68
37;org.graalvm.compiler.lir.framemap.FrameMapBuilderImpl#<init>:69
38;org.graalvm.compiler.core.common.cfg.Loop#<init>:50
39;org.graalvm.compiler.core.common.cfg.Loop#<init>:51
40;org.graalvm.compiler.core.common.cfg.Loop#<init>:52
41;org.graalvm.compiler.hotspot.amd64.AMD64HotSpotLIRGenerator#<init>:224
42;org.graalvm.compiler.lir.LIRIntrospection$LIRFieldsScanner#<init>:155
43;org.graalvm.compiler.lir.LIRIntrospection$OperandModeAnnotation#<init>:149
44;org.graalvm.compiler.virtual.phases.ea.EffectsClosure#processLoop:333
45;org.graalvm.compiler.core.match.MatchRuleRegistry#createRules:133
46;org.graalvm.compiler.lir.gen.LIRGenerator$BlockScopeImpl#doBlockStart:346
47;org.graalvm.compiler.lir.constopt.VariableMap#<init>:41
48;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#lambda$scheduleEarliestIterative$0:782
49;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#<init>:108
50;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#<init>:109
51;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#<init>:110
52;org.graalvm.compiler.lir.LIRInsertionBuffer#<init>:64
53;org.graalvm.compiler.hotspot.amd64.AMD64HotSpotRegisterAllocationConfig#initAllocatable:94
54;org.graalvm.compiler.hotspot.HotSpotReferenceMapBuilder#<init>:60
55;org.graalvm.compiler.lir.EdgeMoveOptimizer$Optimizer#<init>:82
56;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#sortNodesLatestWithinBlock:432
57;org.graalvm.compiler.nodes.util.GraphUtil#markFixedNodes:171
58;org.graalvm.compiler.code.CompilationResult#addAnnotation:622
59;org.graalvm.compiler.replacements.classfile.Classfile#readMethods:159
60;org.graalvm.compiler.core.gen.NodeLIRBuilder#createPhiOut:292
61;org.graalvm.compiler.core.match.MatchContext#consume:170
62;org.graalvm.compiler.core.gen.NodeLIRBuilder#createPhiIn:274
63;org.graalvm.compiler.java.BytecodeParser#genReturn:2421
64;org.graalvm.compiler.asm.Label#addPatchAt:80
65;org.graalvm.compiler.java.FrameStateBuilder#addSideEffect:981
66;org.graalvm.compiler.hotspot.HotSpotCompiledCodeBuilder#getSortedSites:205
67;org.graalvm.compiler.hotspot.HotSpotGraalVMEventListener#<init>:45
68;org.graalvm.compiler.phases.common.inlining.walker.ComputeInliningRelevance#computeFastPathMinProbability:258
