Tracker;Size;CAPACITY
1;2;2
2;25;29
3;2;2
4;88483;110726
5;0;0
6;711;1474
7;396;744
8;108;214
9;1551814;3835070
10;1551814;3835070
11;81637;143123
12;0;0
13;0;0
14;2032;3359
15;48174;61471
16;46;55
17;24256;31570
18;0;0
19;30443;39020
20;24398;48686
21;0;0
22;526426;2449603
23;42524;77677
24;5357810;5357810
25;6066;6066
26;29483;38599
27;22826;31645
28;1537905;2583385
29;3212164;4583598
30;14325;14325
31;136530;151022
32;131449;163322
33;269055;486722
34;131449;163322
35;0;0
36;18097;23455
37;16625;21737
38;629691;862231
39;11206;21363
40;174097;252034
41;7256;12291
42;20;40
43;194;350
44;18387;33373
45;0;0
46;646976;1363468
47;93941;116804
48;109303;139097
49;0;37286
50;0;37286
51;0;37286
52;0;11788
53;64728;64728
54;271734;436139
55;3630;5340
56;8521;18508
57;46696;250799
58;2102;4236
59;0;0
60;45689;89188
61;39424;45448
62;15628;30406
63;44286;87830
64;66391;123765
65;455;1236
66;108739;108785
67;0;0
68;452;87592
69;69633;69633
70;146184;210852
71;559911;651670
72;36343;105513
73;0;0
74;124212;124212
75;5663;11116
76;28752;50405
77;5663;10864
78;164;10164
79;5663;11116
80;6892;10028
81;3774;6781
82;103065;125207
83;49936;86683
84;115314;213434
85;533;2252
86;2371;4714
87;6456;11142
88;6456;11142
89;6613;11706
90;6613;11706
91;20;27
92;3;6
93;2;4
94;116;116
95;47;74
96;267;270
97;46;92
98;3908;7408
99;97969;193710
100;19183;32516
101;539;874
102;213;394
103;213;394
104;3798;6454
105;1854;2900
106;1046;2900
107;14949;29459
108;14949;29027
109;106248;134483
110;5;10
111;7997;17775
112;0;0
113;214;214
114;5688;10097
115;4398;7877
116;2358;4398
117;1867;1873
118;7024;8539
119;6507;7966
120;10;20
121;5;10
122;51;100
123;0;0
124;0;0
125;62;100
126;183;281
