Tracker;Operation on;Type;Occurrences
1;GET_INDEXED;org.graalvm.compiler.hotspot.CoreCompilerConfigurationFactory;1
1;ADD_OBJ;org.graalvm.compiler.hotspot.CoreCompilerConfigurationFactory;1
1;ADD_OBJ;org.graalvm.compiler.hotspot.EconomyCompilerConfigurationFactory;1
2;GET_INDEXED;jdk.vm.ci.code.Register;25
2;REMOVE_OBJ;jdk.vm.ci.code.Register;6
3;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
4;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;4478
4;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;4478
4;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;2239
4;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;4478
4;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;2239
4;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;2239
4;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;8956
4;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;2239
4;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
4;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;6717
4;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;2239
4;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;6809
4;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;2239
4;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;2239
4;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;2239
4;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;2239
