Tracker;Operaton;Occurrences
0;ADD_OBJ; 2753924
0;REMOVE_ALL; 4105
0;INDEX_OF; 17626
0;SET_INDEXED; 551384
0;SORT; 3447
0;CLEAR; 40405
0;GROW; 336604
0;GET_INDEXED; 3339048
0;ADD_ALL; 13703
0;SIZE; 3235785
0;TO_ARRAY; 8302
0;CSTR_COLL; 3484
0;CONTAINS; 7972
0;REMOVE_OBJ; 6
0;CSTR_CAP; 338554
0;ENSURE_CAP; 2769167
0;ITERATOR; 696784
0;EMPTY; 202663
0;CSTR_STD; 275913
0;SUBLIST; 25835
0;ADD_INDEXED; 1540
0;CREATE_LIST_ITR; 31596
0;REMOVE_INDEXED; 73132
Tracker;Type;Occurrences
0;org.graalvm.compiler.lir.framemap.SimpleVirtualStackSlot; 2
0;jdk.vm.ci.code.site.Mark; 1
0;org.graalvm.compiler.lir.amd64.AMD64Move$MoveFromConstOp; 1
0;org.graalvm.compiler.lir.alloc.lsra.Interval; 3
0;org.graalvm.compiler.loop.LoopEx; 1
0;org.graalvm.word.LocationIdentity$AnyLocationIdentity; 1
0;org.graalvm.compiler.core.common.FieldsScanner$FieldInfo; 2
0;jdk.vm.ci.meta.JavaTypeProfile$ProfiledType; 2
0;org.graalvm.compiler.graph.NodeClass$EdgeInfo; 1
0;org.graalvm.compiler.nodes.PiArrayNode$Placeholder; 1
0;org.graalvm.compiler.lir.constopt.UseEntry; 3
0;org.graalvm.compiler.nodes.FrameState; 1
0;jdk.vm.ci.code.site.DataPatch; 1
0;org.graalvm.collections.list.statistics.NoObject; 5
0;org.graalvm.compiler.nodes.LoopBeginNode; 1
0;org.graalvm.compiler.nodes.FieldLocationIdentity; 1
0;org.graalvm.compiler.nodes.extended.JavaWriteNode; 1
0;java.util.Collections$EmptyList; 1
0;org.graalvm.compiler.java.GraphBuilderPhase; 1
0;org.graalvm.compiler.nodes.ParameterNode; 3
0;org.graalvm.compiler.nodes.ReturnNode; 1
0;org.graalvm.compiler.debug.TimerKeyImpl; 2
0;org.graalvm.compiler.lir.asm.CompilationResultBuilder$ExceptionInfo; 1
0;org.graalvm.compiler.nodes.StartNode; 1
0;org.graalvm.compiler.java.BciBlockMapping$BciBlock; 3
0;jdk.vm.ci.meta.PrimitiveConstant; 1
0;org.graalvm.compiler.virtual.phases.ea.PEReadEliminationBlockState; 3
0;org.graalvm.compiler.nodes.memory.ReadNode; 1
0;org.graalvm.compiler.replacements.classfile.ClassfileBytecode; 1
0;org.graalvm.compiler.nodes.java.NewInstanceNode; 1
0;org.graalvm.compiler.nodes.java.MonitorIdNode; 1
0;org.graalvm.compiler.nodes.cfg.HIRLoop; 2
