Tracker;Operation;Occurrences
0;ADD_OBJ; 2753924
0;REMOVE_ALL; 4105
0;INDEX_OF; 17626
0;SET_INDEXED; 551384
0;SORT; 3447
0;CLEAR; 40405
0;GROW; 336604
0;GET_INDEXED; 3339048
0;ADD_ALL; 13703
0;SIZE; 3235785
0;TO_ARRAY; 8302
0;CSTR_COLL; 3484
0;CONTAINS; 7972
0;REMOVE_OBJ; 6
0;CSTR_CAP; 338554
0;ENSURE_CAP; 2769167
0;ITERATOR; 696784
0;EMPTY; 202663
0;CSTR_STD; 275913
0;SUBLIST; 25835
0;ADD_INDEXED; 1540
0;CREATE_LIST_ITR; 31596
0;REMOVE_INDEXED; 73132
1;ADD_OBJ;0
1;SET_INDEXED;0
1;CLEAR;0
1;GROW;0
1;GET_INDEXED;25
1;SIZE;28
1;CSTR_COLL;1
1;REMOVE_OBJ;6
2;ADD_OBJ;2
2;SET_INDEXED;0
2;CLEAR;0
2;GROW;1
2;SIZE;64
2;REMOVE_OBJ;0
2;ENSURE_CAP;2
2;ITERATOR;55
2;CSTR_STD;64
3;ADD_OBJ;21818
3;SET_INDEXED;16
3;CLEAR;0
3;GROW;7311
3;ADD_ALL;17
3;SIZE;4548
3;TO_ARRAY;17
3;REMOVE_OBJ;0
3;ENSURE_CAP;22393
3;ITERATOR;9644
3;CSTR_STD;4532
3;ADD_INDEXED;558
3;CREATE_LIST_ITR;590
4;ADD_OBJ;0
4;SET_INDEXED;0
4;CLEAR;0
4;GROW;0
4;SIZE;1094
4;REMOVE_OBJ;0
4;CSTR_STD;1
5;ADD_OBJ;728
5;INDEX_OF;25
5;SET_INDEXED;0
5;SORT;310
5;CLEAR;0
5;GROW;408
5;GET_INDEXED;25
5;SIZE;645
5;REMOVE_OBJ;0
5;ENSURE_CAP;728
5;ITERATOR;310
5;CSTR_STD;310
6;ADD_OBJ;401
6;SET_INDEXED;0
6;SORT;231
6;CLEAR;0
6;GROW;241
6;GET_INDEXED;802
6;SIZE;1556
6;REMOVE_OBJ;0
6;ENSURE_CAP;401
6;ITERATOR;231
6;CSTR_STD;231
7;ADD_OBJ;112
7;SET_INDEXED;0
7;SORT;231
7;CLEAR;0
7;GROW;110
7;SIZE;462
7;REMOVE_OBJ;0
7;ENSURE_CAP;112
7;ITERATOR;231
7;CSTR_STD;231
8;ADD_OBJ;234875
8;SET_INDEXED;80075
8;CLEAR;0
8;GROW;17
8;GET_INDEXED;188178
8;SIZE;772699
8;REMOVE_OBJ;0
8;CSTR_CAP;9955
8;ENSURE_CAP;234875
9;ADD_OBJ;234875
9;SET_INDEXED;308235
9;CLEAR;0
9;GROW;17
9;GET_INDEXED;297121
9;SIZE;9836
9;REMOVE_OBJ;0
9;CSTR_CAP;9955
9;ENSURE_CAP;234875
10;ADD_OBJ;8255
10;INDEX_OF;554
10;SET_INDEXED;0
10;CLEAR;0
10;GROW;5755
10;ADD_ALL;3529
10;SIZE;17448
10;TO_ARRAY;3529
10;CONTAINS;554
10;REMOVE_OBJ;0
10;ENSURE_CAP;11784
10;ITERATOR;563
10;CSTR_STD;9955
11;ADD_OBJ;192
11;SET_INDEXED;0
11;CLEAR;0
11;GROW;10
11;SIZE;193
11;TO_ARRAY;1
11;REMOVE_OBJ;0
11;ENSURE_CAP;192
11;CSTR_STD;1
12;ADD_OBJ;0
12;SET_INDEXED;0
12;CLEAR;0
12;GROW;0
12;SIZE;9836
12;REMOVE_OBJ;0
12;CSTR_STD;9955
13;ADD_OBJ;0
13;SET_INDEXED;0
13;CLEAR;0
13;GROW;0
13;SIZE;9836
13;REMOVE_OBJ;0
13;CSTR_STD;9955
14;ADD_OBJ;217
14;SET_INDEXED;0
14;SORT;558
14;CLEAR;0
14;GROW;98
14;SIZE;556
14;REMOVE_OBJ;0
14;ENSURE_CAP;217
14;ITERATOR;1116
14;CSTR_STD;558
15;ADD_OBJ;6810
15;SET_INDEXED;0
15;CLEAR;0
15;GROW;1539
15;SIZE;2224
15;TO_ARRAY;556
15;REMOVE_OBJ;0
15;ENSURE_CAP;6810
15;EMPTY;1116
15;ITERATOR;556
15;CSTR_STD;558
16;ADD_OBJ;35
16;SET_INDEXED;0
16;CLEAR;0
16;GROW;8
16;SIZE;560
16;REMOVE_OBJ;0
16;ENSURE_CAP;35
16;EMPTY;558
16;CSTR_STD;558
17;ADD_OBJ;1876
17;SET_INDEXED;0
17;CLEAR;0
17;GROW;582
17;SIZE;1516
17;TO_ARRAY;320
17;REMOVE_OBJ;0
17;ENSURE_CAP;1876
17;EMPTY;1116
17;ITERATOR;320
17;CSTR_STD;558
18;ADD_OBJ;20
18;SET_INDEXED;0
18;CLEAR;0
18;GROW;12
18;SIZE;580
18;TO_ARRAY;8
18;REMOVE_OBJ;0
18;ENSURE_CAP;20
18;EMPTY;1116
18;ITERATOR;8
18;CSTR_STD;558
19;ADD_OBJ;4714
19;SET_INDEXED;0
19;CLEAR;0
19;GROW;1242
19;SIZE;2230
19;TO_ARRAY;558
19;REMOVE_OBJ;0
19;ENSURE_CAP;4714
19;EMPTY;1116
19;ITERATOR;558
19;CSTR_STD;558
20;ADD_OBJ;6138
20;SET_INDEXED;0
20;CLEAR;0
20;GROW;2823
20;ADD_ALL;33
20;SIZE;1767
20;TO_ARRAY;33
20;REMOVE_OBJ;0
20;ENSURE_CAP;6171
20;ITERATOR;1707
20;CSTR_STD;1707
20;CREATE_LIST_ITR;11
21;ADD_OBJ;0
21;SET_INDEXED;0
21;CLEAR;0
21;GROW;0
21;SIZE;9198
21;REMOVE_OBJ;0
21;CSTR_STD;9262
22;ADD_OBJ;52868
22;SET_INDEXED;0
22;CLEAR;553
22;GROW;656
22;GET_INDEXED;42557
22;SIZE;192363
22;REMOVE_OBJ;0
22;CSTR_CAP;60147
22;ENSURE_CAP;52868
22;ITERATOR;189799
23;ADD_OBJ;6389
23;SET_INDEXED;0
23;CLEAR;0
23;GROW;4098
23;SIZE;18645
23;REMOVE_OBJ;0
23;ENSURE_CAP;6389
23;ITERATOR;2557
23;CSTR_STD;8904
24;ADD_OBJ;770547
24;SET_INDEXED;0
24;CLEAR;0
24;GROW;0
24;GET_INDEXED;457846
24;SIZE;373682
24;REMOVE_OBJ;0
24;CSTR_CAP;118502
24;ENSURE_CAP;770547
24;ITERATOR;112089
24;SUBLIST;4629
24;CREATE_LIST_ITR;7367
25;ADD_OBJ;3356
25;SET_INDEXED;0
25;CLEAR;0
25;GROW;937
25;SIZE;1022
25;REMOVE_OBJ;0
25;CSTR_CAP;1025
25;ENSURE_CAP;3356
25;ITERATOR;1025
26;ADD_OBJ;2654
26;SET_INDEXED;0
26;CLEAR;0
26;GROW;957
26;SIZE;1022
26;REMOVE_OBJ;0
26;ENSURE_CAP;2654
26;ITERATOR;2050
26;CSTR_STD;1025
27;ADD_OBJ;230330
27;SET_INDEXED;0
27;CLEAR;0
27;GROW;82651
27;SIZE;84908
27;REMOVE_OBJ;0
27;ENSURE_CAP;230330
27;ITERATOR;85155
27;CSTR_STD;85155
28;ADD_OBJ;457846
28;INDEX_OF;5362
28;SET_INDEXED;7122
28;CLEAR;0
28;GROW;39984
28;GET_INDEXED;201778
28;SIZE;215264
28;REMOVE_OBJ;0
28;CSTR_CAP;85155
28;ENSURE_CAP;457846
28;ITERATOR;67650
28;CREATE_LIST_ITR;23628
29;ADD_OBJ;14528
29;SET_INDEXED;0
29;CLEAR;0
29;GROW;3324
29;SIZE;1284
29;REMOVE_OBJ;0
29;ENSURE_CAP;14528
29;ITERATOR;1287
29;CSTR_STD;1287
30;ADD_OBJ;2182
30;SET_INDEXED;0
30;CLEAR;0
30;GROW;0
30;SIZE;1958
30;REMOVE_OBJ;0
30;CSTR_CAP;1962
30;ENSURE_CAP;2182
30;ITERATOR;5053
31;ADD_OBJ;25079
31;SET_INDEXED;0
31;CLEAR;0
31;GROW;11959
31;GET_INDEXED;25079
31;SIZE;16524
31;REMOVE_OBJ;0
31;ENSURE_CAP;25079
31;CSTR_STD;8265
32;ADD_OBJ;36258
32;INDEX_OF;1641
32;SET_INDEXED;0
32;CLEAR;0
32;GROW;23324
32;GET_INDEXED;703
32;SIZE;34899
32;CONTAINS;1641
32;REMOVE_OBJ;0
32;ENSURE_CAP;36258
32;ITERATOR;33776
32;EMPTY;42
32;CSTR_STD;33904
33;ADD_OBJ;4508
33;SET_INDEXED;0
33;CLEAR;0
33;GROW;0
33;SIZE;8821
33;REMOVE_OBJ;0
33;CSTR_CAP;4329
33;ENSURE_CAP;4508
33;ITERATOR;4303
34;ADD_OBJ;17505
34;SET_INDEXED;0
34;CLEAR;0
34;GROW;2228
34;SIZE;556
34;REMOVE_OBJ;0
34;ENSURE_CAP;17505
34;CSTR_STD;558
35;ADD_OBJ;17505
35;SET_INDEXED;0
35;CLEAR;0
35;GROW;2228
35;SIZE;18061
35;REMOVE_OBJ;0
35;ENSURE_CAP;17505
35;CSTR_STD;558
36;ADD_OBJ;0
36;SET_INDEXED;0
36;CLEAR;0
36;GROW;0
36;SIZE;556
36;REMOVE_OBJ;0
36;ITERATOR;5293
36;CSTR_STD;558
37;ADD_OBJ;2465
37;SET_INDEXED;0
37;CLEAR;0
37;GROW;631
37;SIZE;556
37;REMOVE_OBJ;0
37;ENSURE_CAP;2465
37;CSTR_STD;558
38;ADD_OBJ;1563
38;SET_INDEXED;0
38;CLEAR;0
38;GROW;516
38;SIZE;556
38;REMOVE_OBJ;0
38;ENSURE_CAP;1563
38;ITERATOR;558
38;CSTR_STD;558
39;ADD_OBJ;1007
39;SET_INDEXED;0
39;CLEAR;0
39;GROW;90
39;SIZE;556
39;REMOVE_OBJ;0
39;CSTR_CAP;558
39;ENSURE_CAP;1007
39;ITERATOR;558
40;ADD_OBJ;20
40;SET_INDEXED;0
40;SORT;79
40;CLEAR;0
40;GROW;20
40;SIZE;158
40;REMOVE_OBJ;0
40;ENSURE_CAP;20
40;ITERATOR;79
40;CSTR_STD;79
41;ADD_OBJ;203
41;SET_INDEXED;0
41;SORT;316
41;CLEAR;0
41;GROW;143
41;GET_INDEXED;203
41;SIZE;1467
41;REMOVE_OBJ;0
41;ENSURE_CAP;203
41;ITERATOR;316
41;CSTR_STD;316
42;ADD_OBJ;92
42;SET_INDEXED;0
42;CLEAR;0
42;GROW;25
42;REMOVE_OBJ;0
42;ENSURE_CAP;92
42;ITERATOR;16571
42;CSTR_STD;13
43;ADD_OBJ;98762
43;REMOVE_ALL;4105
43;SET_INDEXED;57855
43;CLEAR;0
43;GROW;35926
43;GET_INDEXED;1396520
43;SIZE;649185
43;REMOVE_OBJ;0
43;ENSURE_CAP;99744
43;ITERATOR;94028
43;EMPTY;14832
43;CSTR_STD;17505
43;SUBLIST;20671
43;ADD_INDEXED;982
43;REMOVE_INDEXED;2366
44;ADD_OBJ;5466
44;SET_INDEXED;0
44;CLEAR;0
44;GROW;4977
44;SIZE;16516
44;REMOVE_OBJ;0
44;ENSURE_CAP;5466
44;CSTR_STD;8285
45;ADD_OBJ;5078
45;INDEX_OF;5285
45;SET_INDEXED;0
45;CLEAR;0
45;GROW;0
45;SIZE;3394
45;CONTAINS;5285
45;REMOVE_OBJ;0
45;CSTR_CAP;3412
45;ENSURE_CAP;5078
45;ITERATOR;2617
46;ADD_OBJ;1961
46;SET_INDEXED;0
46;CLEAR;0
46;GROW;1764
46;SIZE;5961
46;REMOVE_OBJ;0
46;ENSURE_CAP;1961
46;CSTR_STD;2989
47;ADD_OBJ;14427
47;SET_INDEXED;2192
47;CLEAR;0
47;GROW;1787
47;GET_INDEXED;28006
47;SIZE;78342
47;REMOVE_OBJ;0
47;ENSURE_CAP;14427
47;ITERATOR;1116
47;CSTR_STD;558
48;ADD_OBJ;20464
48;SET_INDEXED;28
48;CLEAR;0
48;GROW;35
48;GET_INDEXED;41583
48;SIZE;66050
48;REMOVE_OBJ;0
48;CSTR_CAP;1116
48;ENSURE_CAP;20464
48;REMOVE_INDEXED;20464
49;ADD_OBJ;20464
49;SET_INDEXED;0
49;CLEAR;0
49;GROW;35
49;GET_INDEXED;2947
49;SIZE;1112
49;REMOVE_OBJ;0
49;CSTR_CAP;1116
49;ENSURE_CAP;20464
49;REMOVE_INDEXED;20464
50;ADD_OBJ;20464
50;SET_INDEXED;0
50;CLEAR;0
50;GROW;35
50;GET_INDEXED;21091
50;SIZE;1112
50;REMOVE_OBJ;0
50;CSTR_CAP;1116
50;ENSURE_CAP;20464
50;REMOVE_INDEXED;20464
51;ADD_OBJ;21291
51;SET_INDEXED;0
51;CLEAR;9126
51;GROW;10949
51;GET_INDEXED;21291
51;SIZE;50641
51;REMOVE_OBJ;0
51;CSTR_CAP;1953
51;ENSURE_CAP;21291
52;ADD_OBJ;16182
52;SET_INDEXED;0
52;CLEAR;0
52;GROW;0
52;SIZE;1114
52;REMOVE_OBJ;0
52;CSTR_CAP;558
52;ENSURE_CAP;16182
53;ADD_OBJ;18424
53;SET_INDEXED;0
53;CLEAR;0
53;GROW;8316
53;SIZE;5283
53;REMOVE_OBJ;0
53;ENSURE_CAP;18424
53;ITERATOR;5293
53;CSTR_STD;5293
54;ADD_OBJ;20671
54;SET_INDEXED;0
54;CLEAR;9264
54;GROW;10117
54;GET_INDEXED;23431
54;SIZE;556
54;REMOVE_OBJ;0
54;CSTR_CAP;558
54;ENSURE_CAP;20671
55;ADD_OBJ;511
55;SET_INDEXED;0
55;CLEAR;0
55;GROW;510
55;GET_INDEXED;511
55;SIZE;1019
55;REMOVE_OBJ;0
55;ENSURE_CAP;511
55;EMPTY;510
55;CSTR_STD;510
56;ADD_OBJ;7416
56;SET_INDEXED;0
56;CLEAR;0
56;GROW;171
56;GET_INDEXED;7416
56;SIZE;20449
56;REMOVE_OBJ;0
56;CSTR_CAP;6531
56;ENSURE_CAP;7416
57;ADD_OBJ;703
57;SET_INDEXED;0
57;CLEAR;0
57;GROW;0
57;REMOVE_OBJ;0
57;CSTR_CAP;40
57;ENSURE_CAP;703
57;ITERATOR;1009
58;ADD_OBJ;4185
58;SET_INDEXED;0
58;CLEAR;0
58;GROW;4085
58;GET_INDEXED;3978
58;SIZE;8102
58;REMOVE_OBJ;0
58;ENSURE_CAP;4185
58;ITERATOR;86
58;CSTR_STD;4064
59;ADD_OBJ;341
59;SET_INDEXED;0
59;CLEAR;0
59;GROW;5
59;ADD_ALL;6
59;SIZE;243
59;TO_ARRAY;6
59;REMOVE_OBJ;0
59;CSTR_CAP;231
59;ENSURE_CAP;347
59;ITERATOR;139
60;ADD_OBJ;0
60;SET_INDEXED;0
60;SORT;558
60;CLEAR;0
60;GROW;0
60;ADD_ALL;2232
60;SIZE;1114
60;REMOVE_OBJ;0
60;CSTR_CAP;558
60;ENSURE_CAP;2232
61;ADD_OBJ;0
61;SET_INDEXED;0
61;CLEAR;0
61;GROW;0
61;REMOVE_OBJ;0
61;ITERATOR;558
61;CSTR_STD;1
62;ADD_OBJ;1136
62;SET_INDEXED;0
62;SORT;1135
62;CLEAR;0
62;GROW;0
62;SIZE;1126
62;REMOVE_OBJ;0
62;CSTR_CAP;1135
62;ENSURE_CAP;1136
62;ITERATOR;1135
63;ADD_OBJ;46124
63;INDEX_OF;75
63;SET_INDEXED;0
63;CLEAR;0
63;GROW;12632
63;GET_INDEXED;24079
63;SIZE;10666
63;CONTAINS;75
63;REMOVE_OBJ;0
63;ENSURE_CAP;46124
63;ITERATOR;3863
63;CSTR_STD;6389
64;ADD_OBJ;673
64;SET_INDEXED;0
64;CLEAR;0
64;GROW;570
64;SIZE;6377
64;REMOVE_OBJ;0
64;ENSURE_CAP;673
64;ITERATOR;489
64;EMPTY;233
64;CSTR_STD;6389
65;ADD_OBJ;15816
65;INDEX_OF;103
65;SET_INDEXED;0
65;CLEAR;0
65;GROW;8533
65;SIZE;8054
65;CONTAINS;103
65;REMOVE_OBJ;0
65;ENSURE_CAP;15816
65;ITERATOR;5082
65;CSTR_STD;6389
66;ADD_OBJ;6679
