Tracker;Size;CAPACITY
1;25;29
2;2;2
3;22311;27910
4;0;0
5;728;1484
6;401;752
7;112;220
8;231291;494028
9;231291;494028
10;8196;14985
11;0;0
12;0;0
13;0;0
14;217;421
15;6790;9102
16;35;40
17;1870;2809
18;20;48
19;4701;6450
20;6237;12353
21;0;0
22;51330;237884
23;6377;13286
24;768720;768720
25;3352;4941
26;2650;4044
27;229785;363376
28;453926;666164
29;14509;19395
30;2182;2182
31;25070;45490
32;36128;66534
33;4498;19416
34;17408;21383
35;17408;21383
36;0;0
37;2462;3349
38;1554;2327
39;1005;1821
40;20;40
41;203;350
42;0;0
43;87625;176632
44;5464;10508
45;5048;6788
46;1960;3766
47;14352;17866
48;0;9040
49;0;9040
50;0;9040
51;0;3492
52;16124;16124
53;18399;35288
54;887;1312
55;510;1018
56;7379;14351
57;0;0
58;4159;8244
59;348;936
60;13381;13416
61;0;0
62;1127;1127
63;46098;68091
64;673;1308
65;15802;30697
66;91;11424
67;16235;25730
68;509;909
69;1906;2082
70;1771;2169
71;121501;134869
72;5407;14659
73;0;0
74;11968;13656
75;14507;14507
76;2312;3328
77;535;954
78;2269;4476
79;535;954
80;0;954
81;535;954
82;693;1008
83;369;648
84;0;0
85;0;0
86;0;0
87;9382;9382
88;84;84
89;0;0
90;39;64
91;240;430
92;66;113
93;47;113
94;29;58
95;4;8
96;10250;12375
97;8873;17854
98;2430;4222
99;1549;3244
100;1549;3300
101;6432;8123
102;8035;13892
103;691;1288
104;640;1020
105;640;1020
106;616;1092
107;616;1092
108;1460;3422
109;8;14
110;8;14
111;3760;7186
112;42;1440
113;0;0
114;630;1260
115;124;266
116;18;18
117;8;8
118;20;32
119;9;18
120;9;9
121;8;8
122;7;14
123;2;4
124;1;2
125;4;4
126;0;0
