Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;558
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;1116
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;1116
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;1674
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;558
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;558
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;558
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;558
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;16
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;558
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;558
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;1713
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;2232
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;1116
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;558
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;558
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;558
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;558
