Tracker;Operation;Occurrences
0;ADD_OBJ; 6339329
0;SET_INDEXED; 1466633
0;SORT; 4820
0;CLEAR; 171039
0;GROW; 875214
0;GET_INDEXED; 11004075
0;ADD_ALL; 25406
0;SIZE; 8472441
0;CONTAINS; 21263
0;TO_ARRAY; 15257
0;EMPTY; 1077772
0;ADD_INDEXED; 4706
0;CSTR_COLL; 5549
0;CREATE_LIST_ITR; 79230
0;REMOVE_ALL; 14456
0;REMOVE_OBJ; 6
0;CSTR_CAP; 795036
0;ENSURE_CAP; 6369441
0;ITERATOR; 1699301
0;CSTR_STD; 615727
0;INDEX_OF; 46807
0;SUBLIST; 70761
0;REMOVE_INDEXED; 290733
1;ADD_OBJ;0
1;SET_INDEXED;0
1;CLEAR;0
1;GROW;0
1;GET_INDEXED;25
1;SIZE;28
1;CSTR_COLL;1
1;REMOVE_OBJ;6
2;ADD_OBJ;2
2;SET_INDEXED;0
2;CLEAR;0
2;GROW;1
2;SIZE;84
2;REMOVE_OBJ;0
2;ENSURE_CAP;2
2;ITERATOR;74
2;CSTR_STD;84
3;ADD_OBJ;28919
3;SET_INDEXED;31
3;CLEAR;0
3;GROW;9706
3;ADD_ALL;32
3;SIZE;6066
3;TO_ARRAY;32
3;ADD_INDEXED;739
3;CREATE_LIST_ITR;801
3;REMOVE_OBJ;0
3;ENSURE_CAP;29690
3;ITERATOR;13552
3;CSTR_STD;6021
4;ADD_OBJ;0
4;SET_INDEXED;0
4;CLEAR;0
4;GROW;0
4;SIZE;1456
4;REMOVE_OBJ;0
4;CSTR_STD;1
5;ADD_OBJ;710
5;SET_INDEXED;0
5;SORT;313
5;CLEAR;0
5;GROW;408
5;GET_INDEXED;23
5;SIZE;649
5;REMOVE_OBJ;0
5;ENSURE_CAP;710
5;ITERATOR;313
5;CSTR_STD;313
5;INDEX_OF;23
6;ADD_OBJ;400
6;SET_INDEXED;0
6;SORT;233
6;CLEAR;0
6;GROW;241
6;GET_INDEXED;800
6;SIZE;1565
6;REMOVE_OBJ;0
6;ENSURE_CAP;400
6;ITERATOR;233
6;CSTR_STD;233
7;ADD_OBJ;116
7;SET_INDEXED;0
7;SORT;233
7;CLEAR;0
7;GROW;114
7;SIZE;466
7;REMOVE_OBJ;0
7;ENSURE_CAP;116
7;ITERATOR;233
7;CSTR_STD;233
8;ADD_OBJ;357850
8;SET_INDEXED;118640
8;CLEAR;0
8;GROW;16
8;GET_INDEXED;271858
8;SIZE;1256198
8;REMOVE_OBJ;0
8;CSTR_CAP;14645
8;ENSURE_CAP;357850
9;ADD_OBJ;357850
9;SET_INDEXED;583465
9;CLEAR;0
9;GROW;16
9;GET_INDEXED;566917
9;SIZE;14532
9;REMOVE_OBJ;0
9;CSTR_CAP;14645
9;ENSURE_CAP;357850
10;ADD_OBJ;10272
10;SET_INDEXED;0
10;CLEAR;0
10;GROW;8209
10;ADD_ALL;5124
10;SIZE;25513
10;CONTAINS;733
10;TO_ARRAY;5124
10;REMOVE_OBJ;0
10;ENSURE_CAP;15396
10;ITERATOR;741
10;CSTR_STD;14645
10;INDEX_OF;733
11;ADD_OBJ;198
11;SET_INDEXED;0
11;CLEAR;0
11;GROW;10
11;SIZE;199
11;TO_ARRAY;1
11;REMOVE_OBJ;0
11;ENSURE_CAP;198
11;CSTR_STD;1
12;ADD_OBJ;0
12;SET_INDEXED;0
12;CLEAR;0
12;GROW;0
12;SIZE;14532
12;REMOVE_OBJ;0
12;CSTR_STD;14645
13;ADD_OBJ;0
13;SET_INDEXED;0
13;CLEAR;0
13;GROW;0
13;SIZE;14532
13;REMOVE_OBJ;0
13;CSTR_STD;14645
14;ADD_OBJ;635
14;SET_INDEXED;0
14;SORT;738
14;CLEAR;0
14;GROW;237
14;SIZE;736
14;REMOVE_OBJ;0
14;ENSURE_CAP;635
14;ITERATOR;1476
14;CSTR_STD;739
15;ADD_OBJ;13809
15;SET_INDEXED;0
15;CLEAR;0
15;GROW;2357
15;SIZE;2950
15;TO_ARRAY;738
15;EMPTY;1476
15;REMOVE_OBJ;0
15;ENSURE_CAP;13809
15;ITERATOR;738
15;CSTR_STD;739
16;ADD_OBJ;46
16;SET_INDEXED;0
16;CLEAR;0
16;GROW;11
16;SIZE;741
16;EMPTY;738
16;REMOVE_OBJ;0
16;ENSURE_CAP;46
16;CSTR_STD;739
17;ADD_OBJ;6492
17;SET_INDEXED;0
17;CLEAR;0
17;GROW;1218
17;SIZE;2242
17;TO_ARRAY;502
17;EMPTY;1476
17;REMOVE_OBJ;0
17;ENSURE_CAP;6492
17;ITERATOR;502
17;CSTR_STD;739
18;ADD_OBJ;2
18;SET_INDEXED;0
18;CLEAR;0
18;GROW;1
18;SIZE;739
18;TO_ARRAY;1
18;EMPTY;1476
18;REMOVE_OBJ;0
18;ENSURE_CAP;2
18;ITERATOR;1
18;CSTR_STD;739
19;ADD_OBJ;7295
19;SET_INDEXED;0
19;CLEAR;0
19;GROW;1777
19;SIZE;2950
19;TO_ARRAY;738
19;EMPTY;1476
19;REMOVE_OBJ;0
19;ENSURE_CAP;7295
19;ITERATOR;738
19;CSTR_STD;739
20;ADD_OBJ;8129
20;SET_INDEXED;0
20;CLEAR;0
20;GROW;3725
20;ADD_ALL;30
20;SIZE;2298
20;TO_ARRAY;30
20;CREATE_LIST_ITR;10
20;REMOVE_OBJ;0
20;ENSURE_CAP;8159
20;ITERATOR;2244
20;CSTR_STD;2247
21;ADD_OBJ;0
21;SET_INDEXED;0
21;CLEAR;0
21;GROW;0
21;SIZE;12043
21;REMOVE_OBJ;0
21;CSTR_STD;12072
22;ADD_OBJ;117468
22;SET_INDEXED;0
22;CLEAR;1545
22;GROW;1974
22;GET_INDEXED;76402
22;SIZE;384428
22;REMOVE_OBJ;0
22;CSTR_CAP;112841
22;ENSURE_CAP;117468
22;ITERATOR;416899
23;ADD_OBJ;19528
23;SET_INDEXED;0
23;CLEAR;0
23;GROW;8600
23;SIZE;37270
23;REMOVE_OBJ;0
23;ENSURE_CAP;19528
23;ITERATOR;3917
23;CSTR_STD;12517
24;ADD_OBJ;1766961
24;SET_INDEXED;0
24;CLEAR;0
24;GROW;0
24;GET_INDEXED;1053404
24;SIZE;978636
24;CREATE_LIST_ITR;17252
24;REMOVE_OBJ;0
24;CSTR_CAP;306297
24;ENSURE_CAP;1766961
24;ITERATOR;296297
24;SUBLIST;9164
25;ADD_OBJ;8348
25;SET_INDEXED;0
25;CLEAR;0
25;GROW;1588
25;SIZE;1330
25;REMOVE_OBJ;0
25;CSTR_CAP;1331
25;ENSURE_CAP;8348
25;ITERATOR;1331
26;ADD_OBJ;6876
26;SET_INDEXED;0
26;CLEAR;0
26;GROW;1681
26;SIZE;1330
26;REMOVE_OBJ;0
26;ENSURE_CAP;6876
26;ITERATOR;2662
26;CSTR_STD;1331
27;ADD_OBJ;484942
27;SET_INDEXED;0
27;CLEAR;0
27;GROW;189359
27;SIZE;223996
27;REMOVE_OBJ;0
27;ENSURE_CAP;484942
27;ITERATOR;224301
27;CSTR_STD;224301
28;ADD_OBJ;1053404
28;SET_INDEXED;15446
28;CLEAR;0
28;GROW;92163
28;GET_INDEXED;489593
28;SIZE;554788
28;CREATE_LIST_ITR;61167
28;REMOVE_OBJ;0
