Tracker;Size;CAPACITY
1;25;29
2;2;2
3;29486;36892
4;0;0
5;710;1470
6;400;752
7;116;228
8;347344;722580
9;347344;722580
10;10088;19987
11;0;0
12;0;0
13;0;0
14;628;1021
15;13615;18039
16;46;55
17;6420;8503
18;2;2
19;7185;9387
20;8184;16258
21;0;0
22;110646;436615
23;19194;32268
24;1734621;1734621
25;8194;10926
26;6709;9271
27;477588;786900
28;1032647;1533169
29;38993;50103
30;7089;7089
31;51292;94241
32;89769;153638
33;9311;41041
34;49090;61420
35;49090;61420
36;0;0
37;6586;8548
38;3631;5146
39;1474;2733
40;20;40
41;170;322
42;0;0
43;243158;505384
44;16885;32422
45;13371;16556
46;5825;11127
47;31828;39346
48;0;12480
49;0;12480
50;0;12480
51;0;4072
52;21286;21286
53;62104;103063
54;1272;1749
55;703;1398
56;23885;45531
57;0;0
58;4890;9866
59;414;1144
60;27222;27268
61;0;0
62;2003;2003
63;245090;327334
64;6411;12974
65;77523;117084
66;7928;13074
67;2351;5072
68;0;0
69;0;0
70;0;0
71;96;96
72;39;64
73;0;0
74;19793;19793
75;144;18367
76;147013;164970
77;7256;20578
78;0;0
79;27430;30206
80;40046;40046
81;34345;41823
82;1366;2684
83;36795;71077
84;26690;46727
85;28730;40248
86;1122;2252
87;6389;10113
88;1122;2224
89;14;1980
90;1122;2252
91;1572;2058
92;843;1497
93;499;984
94;407;634
95;227;634
96;41;82
97;5;10
98;4474;7782
99;3093;6052
100;3093;6172
101;13817;18387
102;3751;8050
103;1251;2330
104;1251;2330
105;1784;3126
106;1784;3126
107;753;1482
108;422;818
109;197;4120
110;0;0
111;18;44
112;26;52
113;1686;3376
114;3983;4249
115;2660;3815
116;0;0
117;0;0
118;8;16
119;152;242
120;152;242
121;173;346
122;166;173
123;98;98
124;2;4
125;27;27
126;6;6
127;0;0
