Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;2283
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;31
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;2217
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;739
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;739
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;739
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;1478
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;2956
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;1478
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;739
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;739
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;739
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;739
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;739
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;1478
