Tracker;Operation;Occurrences
0;ADD_OBJ; 3195564
0;REMOVE_INDEXED; 144891
0;SET_INDEXED; 805837
0;CREATE_LIST_ITR; 39429
0;ADD_INDEXED; 2090
0;SORT; 3003
0;CLEAR; 95285
0;GROW; 422349
0;REMOVE_ALL; 7595
0;GET_INDEXED; 5981751
0;ADD_ALL; 21198
0;SIZE; 4426514
0;TO_ARRAY; 15730
0;INDEX_OF; 24735
0;CSTR_COLL; 3480
0;REMOVE_OBJ; 6
0;ENSURE_CAP; 3218852
0;ITERATOR; 902238
0;CSTR_STD; 307496
0;CSTR_CAP; 418675
0;SUBLIST; 33348
0;CONTAINS; 11249
0;EMPTY; 572736
1;ADD_OBJ;0
1;SET_INDEXED;0
1;CLEAR;0
1;GROW;0
1;GET_INDEXED;25
1;SIZE;28
1;CSTR_COLL;1
1;REMOVE_OBJ;6
2;ADD_OBJ;2
2;SET_INDEXED;0
2;CLEAR;0
2;GROW;1
2;SIZE;63
2;REMOVE_OBJ;0
2;ENSURE_CAP;2
2;ITERATOR;54
2;CSTR_STD;63
3;ADD_OBJ;9635
3;SET_INDEXED;6
3;CREATE_LIST_ITR;258
3;ADD_INDEXED;246
3;CLEAR;0
3;GROW;3240
3;ADD_ALL;7
3;SIZE;2021
3;TO_ARRAY;7
3;REMOVE_OBJ;0
3;ENSURE_CAP;9888
3;ITERATOR;6606
3;CSTR_STD;2019
4;ADD_OBJ;0
4;SET_INDEXED;0
4;CLEAR;0
4;GROW;0
4;SIZE;472
4;REMOVE_OBJ;0
4;CSTR_STD;1
5;ADD_OBJ;686
5;SET_INDEXED;0
5;SORT;303
5;CLEAR;0
5;GROW;394
5;GET_INDEXED;22
5;SIZE;628
5;INDEX_OF;22
5;REMOVE_OBJ;0
5;ENSURE_CAP;686
5;ITERATOR;303
5;CSTR_STD;303
6;ADD_OBJ;388
6;SET_INDEXED;0
6;SORT;227
6;CLEAR;0
6;GROW;234
6;GET_INDEXED;776
6;SIZE;1523
6;REMOVE_OBJ;0
6;ENSURE_CAP;388
