Tracker;Size;CAPACITY
1;25;29
2;2;2
3;9569;11986
4;0;0
5;686;1418
6;388;726
7;111;218
8;221207;445326
9;221207;445326
10;8321;13904
11;0;0
12;0;0
13;0;0
14;292;436
15;6192;7757
16;44;50
17;3529;4593
18;1;2
19;3013;3809
20;2717;5335
21;0;0
22;69538;301036
23;7356;12525
24;835976;835976
25;4342;5420
26;4651;6102
27;212113;358748
28;478662;704856
29;18452;23669
30;2478;2478
31;17934;32233
32;41085;71035
33;4538;15891
34;23345;29244
35;23345;29244
36;0;0
37;3023;3707
38;2163;2853
39;574;1041
40;20;40
41;164;312
42;0;0
43;116545;246117
44;8080;15838
45;5677;7220
46;2783;5424
47;18333;22098
48;0;4052
49;0;4052
50;0;4052
51;0;1288
52;6902;6902
53;25956;46537
54;370;558
55;212;424
56;10956;20935
57;0;0
58;5889;11750
59;309;840
60;12735;12779
61;0;0
62;0;0
63;0;0
64;0;0
65;68;68
66;29;52
67;0;0
68;12854;12854
69;1363;1363
70;124750;167571
71;1483;3124
72;32914;51769
73;3048;4248
74;11235;19944
75;71;11882
76;1093;1848
77;1093;1848
78;1508;2476
79;1508;2476
80;21888;30978
81;93978;103805
82;4218;11233
83;0;0
84;18596;20679
85;496;748
86;27061;27061
87;759;1412
88;4444;6861
89;759;1412
90;0;1076
91;759;1412
92;914;1638
93;543;802
94;71;698
95;923;2226
96;288;522
97;256;377
98;121;377
99;30;60
100;1761;4086
101;2481;4000
102;1895;3646
103;1895;3780
104;33022;40067
105;18855;22518
106;410;776
107;19653;38531
108;0;0
109;16;26
110;15;28
111;5;10
112;245;478
113;24;48
114;24;24
115;6;6
116;1977;2038
117;668;975
118;572;932
119;128;230
120;129;232
121;40;40
122;1;4
123;0;0
124;0;0
125;5;10
126;4;8
127;2;4
128;0;0
