Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;246
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;246
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;246
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;492
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;772
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;492
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;246
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;246
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;246
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;738
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;984
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;6
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;246
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;246
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;246
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;492
3;SET_INDEXED;org.graalvm.compiler.java.GraphBuilderPhase;6
