Tracker;Operation;Occurrences
0;CLEAR; 203851
0;GROW; 1264364
0;ADD_ALL; 71182
0;CONTAINS; 35048
0;SORT; 8167
0;REMOVE_ALL; 19519
0;CSTR_COLL; 10362
0;ADD_OBJ; 10247115
0;ITERATOR; 3253878
0;ENSURE_CAP; 10323664
0;INDEX_OF; 74401
0;EMPTY; 1335771
0;GET_INDEXED; 15695860
0;SET_INDEXED; 2439161
0;REMOVE_OBJ; 6
0;REMOVE_INDEXED; 343827
0;CREATE_LIST_ITR; 120018
0;SUBLIST; 104970
0;CSTR_CAP; 1415569
0;SIZE; 13639029
0;ADD_INDEXED; 5367
0;CSTR_STD; 1038427
0;TO_ARRAY; 55996
1;CLEAR;0
1;GROW;0
1;CSTR_COLL;1
1;ADD_OBJ;0
1;GET_INDEXED;25
1;SET_INDEXED;0
1;REMOVE_OBJ;6
1;SIZE;28
2;CLEAR;0
2;GROW;1
2;ADD_OBJ;2
2;ITERATOR;71
2;ENSURE_CAP;2
2;SET_INDEXED;0
2;REMOVE_OBJ;0
2;SIZE;80
2;CSTR_STD;80
3;CLEAR;0
3;GROW;11909
3;ADD_ALL;23
3;ADD_OBJ;35568
3;ITERATOR;27279
3;ENSURE_CAP;36501
3;SET_INDEXED;22
3;REMOVE_OBJ;0
3;CREATE_LIST_ITR;954
3;SIZE;7407
3;ADD_INDEXED;910
3;CSTR_STD;7368
3;TO_ARRAY;23
4;CLEAR;0
4;GROW;0
4;ADD_OBJ;0
4;SET_INDEXED;0
4;REMOVE_OBJ;0
4;SIZE;1802
4;CSTR_STD;1
5;CLEAR;0
5;GROW;413
5;SORT;317
5;ADD_OBJ;723
5;ITERATOR;317
5;ENSURE_CAP;723
5;INDEX_OF;23
5;GET_INDEXED;23
5;SET_INDEXED;0
5;REMOVE_OBJ;0
5;SIZE;657
5;CSTR_STD;317
6;CLEAR;0
6;GROW;248
6;SORT;238
6;ADD_OBJ;416
6;ITERATOR;238
6;ENSURE_CAP;416
6;GET_INDEXED;832
6;SET_INDEXED;0
6;REMOVE_OBJ;0
6;SIZE;1606
6;CSTR_STD;238
7;CLEAR;0
7;GROW;114
7;SORT;238
7;ADD_OBJ;116
