Tracker;Size;CAPACITY
1;25;29
2;2;2
3;36462;45610
4;0;0
5;723;1486
6;416;778
7;116;228
8;876182;2071708
9;876182;2071708
10;29479;57662
11;0;0
12;0;0
13;0;0
14;746;1378
15;20660;26410
16;35;40
17;10130;12999
18;91;129
19;9877;13013
20;10098;20097
21;0;0
22;350000;1412385
23;21575;36348
24;2692496;2692496
25;13919;17832
26;9260;12770
27;730162;1234614
28;1594535;2284456
29;72340;92566
30;7234;7234
31;104175;160718
32;137672;245973
33;21487;127219
34;71649;88963
35;71649;88963
36;0;0
37;6410;8306
38;5131;6777
39;2047;3566
40;20;40
41;169;320
42;0;0
43;330390;721992
44;25645;49994
45;21696;24932
46;7536;14482
47;52288;66769
48;0;15042
49;0;15042
50;0;15042
51;0;5448
52;26390;26390
53;99588;161710
54;1471;2200
55;850;1698
56;37228;71373
57;0;0
58;16388;33406
59;406;1128
60;40782;40817
61;0;0
62;5162;5162
63;509;44122
64;416829;469019
65;18614;59969
66;0;0
67;236591;330054
68;4632;8859
69;84213;127641
70;7825;13362
71;3157;6838
72;0;0
73;0;0
74;0;0
75;104;104
76;51;78
77;0;0
78;31904;31904
79;28552;48782
80;50677;50677
81;1802;3323
82;37008;44711
83;41610;83142
84;3964;9362
85;3964;9362
86;4287;9746
87;4287;9746
88;64221;97995
89;55966;62217
90;2182;4986
91;507;834
92;327;834
93;7892;12980
94;5755;11078
95;5755;11056
96;213696;227018
97;4163;9106
98;202;2082
99;625;1248
100;3509;6871
101;5440;6087
102;2809;3262
103;0;0
104;2249;4430
105;11585;20784
106;2249;4330
107;50;3918
108;2249;4430
109;3216;4632
110;1756;3052
111;933;1802
112;38;76
113;4;8
114;29;56
115;47;47
116;0;0
117;0;0
118;28;56
119;28;56
120;42;84
121;15;30
122;91;151
123;16;32
124;16;16
125;13;13
126;13;22
127;0;0
