Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;910
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;910
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;910
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;22
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;910
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;910
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;910
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;2730
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;910
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;1820
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;1820
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;3640
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;2785
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;1820
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;910
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;910
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;910
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;910
