Tracker;Operation;Occurrences
0;ADD_INDEXED; 7079
0;SUBLIST; 157092
0;CONTAINS; 43656
0;CSTR_COLL; 15978
0;SET_INDEXED; 2967693
0;EMPTY; 2130963
0;GET_INDEXED; 61659480
0;REMOVE_ALL; 28915
0;CSTR_CAP; 1712611
0;REMOVE_OBJ; 6
0;ADD_OBJ; 14649291
0;GROW; 1857125
0;ITERATOR; 3668002
0;ADD_ALL; 82684
0;CREATE_LIST_ITR; 170458
0;TO_ARRAY; 58865
0;INDEX_OF; 94529
0;SORT; 7663
0;SIZE; 18078517
0;REMOVE_INDEXED; 491770
0;CLEAR; 315970
0;CSTR_STD; 1354847
0;ENSURE_CAP; 14739054
1;SET_INDEXED;0
1;CSTR_COLL;1
1;GET_INDEXED;25
1;REMOVE_OBJ;6
1;ADD_OBJ;0
1;GROW;0
1;SIZE;28
1;CLEAR;0
2;SET_INDEXED;0
2;REMOVE_OBJ;0
2;ADD_OBJ;2
2;GROW;1
2;ITERATOR;66
2;SIZE;76
2;CLEAR;0
2;CSTR_STD;76
2;ENSURE_CAP;2
3;ADD_INDEXED;928
3;SET_INDEXED;21
3;REMOVE_OBJ;0
3;ADD_OBJ;36261
3;GROW;12134
3;ITERATOR;27233
3;ADD_ALL;22
3;CREATE_LIST_ITR;970
3;TO_ARRAY;22
3;SIZE;7541
3;CLEAR;0
3;CSTR_STD;7505
3;ENSURE_CAP;37211
4;SET_INDEXED;0
4;REMOVE_OBJ;0
4;ADD_OBJ;0
4;GROW;0
4;SIZE;1832
4;CLEAR;0
4;CSTR_STD;1
5;SET_INDEXED;0
5;GET_INDEXED;23
5;REMOVE_OBJ;0
5;ADD_OBJ;720
5;GROW;411
5;ITERATOR;314
5;INDEX_OF;23
5;SORT;314
5;SIZE;651
5;CLEAR;0
5;CSTR_STD;314
5;ENSURE_CAP;720
6;SET_INDEXED;0
6;GET_INDEXED;814
6;REMOVE_OBJ;0
6;ADD_OBJ;407
6;GROW;244
6;ITERATOR;235
6;SORT;235
6;SIZE;1582
6;CLEAR;0
6;CSTR_STD;235
6;ENSURE_CAP;407
7;SET_INDEXED;0
7;REMOVE_OBJ;0
7;ADD_OBJ;116
7;GROW;114
7;ITERATOR;235
7;SORT;235
