Tracker;Size;CAPACITY
1;25;29
2;2;2
3;37171;46490
4;0;0
5;720;1488
6;407;758
7;116;228
8;900908;1989828
9;900908;1989828
10;32792;61152
11;0;0
12;0;0
13;0;0
14;645;981
15;31047;37792
16;52;60
17;16230;21224
18;56;114
19;13597;17047
20;10318;20515
21;0;0
22;274436;1151314
23;26809;42497
24;3652648;3652648
25;17893;23628
26;13891;18076
27;974689;1651356
28;2193045;3137400
29;89366;113221
30;9462;9462
31;50266;97331
32;147964;262194
33;22527;95086
34;107549;131420
35;107549;131420
36;0;0
37;9823;12248
38;10877;14607
39;2284;3968
40;20;40
41;169;320
42;0;0
43;490827;1058274
44;30497;58628
45;30102;35532
46;10023;19072
47;86085;108125
48;0;15090
49;0;15090
50;0;15090
51;0;5360
52;26883;26883
53;172505;267845
54;1522;2136
55;882;1750
56;54166;103097
57;0;0
58;17226;34632
59;432;1236
60;60930;60982
61;0;0
62;4503;4503
63;41509;41509
64;678117;883886
65;9628;14577
66;167553;253314
67;10231;11560
68;88548;88548
69;3245;6382
70;19150;26862
71;3245;6350
72;16;5678
73;3245;6382
74;3069;4416
75;1713;3044
76;184;1468
77;5705;11568
78;1195;2416
79;33;66
80;0;0
81;0;0
82;0;0
83;96;96
84;0;0
85;10104;15705
86;8055;15630
87;8055;15768
88;739922;767834
89;60074;107617
90;58242;70959
91;1616;2954
92;53904;105557
93;112;159336
94;78766;122348
95;366617;410394
96;17911;52331
97;0;0
98;65414;76404
99;47;74
100;119;210
101;91;210
102;6;12
103;2480;3950
104;4197;8032
105;4197;8032
106;4196;7534
107;4196;7534
108;0;0
109;3602;8635
110;0;0
111;0;0
112;1498;2986
113;4237;5433
114;3699;4650
115;2696;4288
116;62;122
117;62;122
118;5;6
119;10;24
120;56;152
121;4;6
122;101;101
123;5;5
124;0;5
125;9;9
126;5;5
127;23;23
128;19;46
129;13;19
130;8;8
131;8;16
132;0;0
