Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
3;SET_INDEXED;org.graalvm.compiler.java.GraphBuilderPhase;21
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;928
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;21
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;928
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;928
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;928
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;928
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;928
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;928
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;1856
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;1856
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;3712
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;928
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;1856
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;928
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;2831
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;2784
