Tracker;Size;CAPACITY
1;25;29
2;2;2
3;2644;3316
4;0;0
5;616;1280
6;343;638
7;96;190
8;72410;127657
9;72410;127657
10;1861;3726
11;0;0
12;0;0
13;0;0
14;39;92
15;3693;4557
16;27;30
17;1035;1312
18;0;0
19;1538;1791
20;781;1496
21;340;488
22;19930;81660
23;8684;12369
24;524527;524527
25;739;955
26;1527;1926
27;137162;238316
28;284746;413654
29;10910;14021
30;2766;2766
31;10386;19248
32;32754;51495
33;2137;8237
34;12267;14862
35;12267;14862
36;0;0
37;1542;1846
38;976;1406
39;173;346
40;20;40
41;151;288
42;0;0
43;54642;112400
44;4100;7970
45;4675;5678
46;1525;3016
47;8624;10772
48;0;1160
49;0;1160
50;0;1160
51;0;224
52;1885;1885
53;42421;56474
54;122;138
55;59;118
56;4786;9226
57;0;0
58;977;1980
59;188;504
60;6266;6293
61;0;0
62;487;487
63;5528;5528
64;4;5782
65;36230;39433
66;1140;3569
67;0;0
68;8608;8974
69;159379;211474
70;4648;7181
71;37170;57206
72;0;0
73;4728;8410
74;14680;14680
75;565;1300
76;76;130
77;54;130
78;0;0
79;0;0
80;0;0
81;60;60
82;27;34
83;0;0
84;843;1600
85;511;958
86;301;564
87;301;586
88;4631;5898
89;8938;10433
90;306;586
91;10007;19800
92;4574;7181
93;8;16
94;3;6
95;40;90
96;1831;2882
97;88;100
98;370;680
99;370;680
100;410;968
101;410;968
102;289;590
103;4;8
104;28;1190
105;0;0
106;0;0
107;10;20
108;56;126
109;12;40
110;136;160
111;12;40
112;0;8
113;12;40
114;16;40
115;12;12
116;6;20
117;0;0
118;0;0
119;0;0
