Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;74
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;148
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;148
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;222
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;74
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;74
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;74
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;74
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;11
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;74
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;74
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;74
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;239
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;296
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;148
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;74
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;74
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;74
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;74
3;SET_INDEXED;org.graalvm.compiler.java.GraphBuilderPhase;11
