Tracker;Operation;Occurrences
0;ADD_OBJ; 3203501
0;REMOVE_ALL; 6280
0;INDEX_OF; 23023
0;SET_INDEXED; 669866
0;SORT; 3583
0;CLEAR; 74824
0;GROW; 417038
0;GET_INDEXED; 4513748
0;ADD_ALL; 15567
0;SIZE; 4053212
0;TO_ARRAY; 9560
0;CSTR_COLL; 3582
0;CONTAINS; 12338
0;REMOVE_OBJ; 6
0;CSTR_CAP; 406221
0;ENSURE_CAP; 3221250
0;ITERATOR; 887006
0;EMPTY; 323742
0;CSTR_STD; 320217
0;SUBLIST; 34857
0;ADD_INDEXED; 2182
0;CREATE_LIST_ITR; 39731
0;REMOVE_INDEXED; 116227
1;ADD_OBJ;0
1;SET_INDEXED;0
1;CLEAR;0
1;GROW;0
1;GET_INDEXED;25
1;SIZE;28
1;CSTR_COLL;1
1;REMOVE_OBJ;6
2;ADD_OBJ;2
2;SET_INDEXED;0
2;CLEAR;0
2;GROW;1
2;SIZE;80
2;REMOVE_OBJ;0
2;ENSURE_CAP;2
2;ITERATOR;67
2;CSTR_STD;80
3;ADD_OBJ;20036
3;SET_INDEXED;17
3;CLEAR;0
3;GROW;6725
3;ADD_ALL;18
3;SIZE;4211
3;TO_ARRAY;18
3;REMOVE_OBJ;0
3;ENSURE_CAP;20566
3;ITERATOR;8813
3;CSTR_STD;4177
3;ADD_INDEXED;512
3;CREATE_LIST_ITR;546
4;ADD_OBJ;0
4;SET_INDEXED;0
4;CLEAR;0
4;GROW;0
4;SIZE;1000
4;REMOVE_OBJ;0
4;CSTR_STD;1
5;ADD_OBJ;742
5;INDEX_OF;24
5;SET_INDEXED;0
5;SORT;320
5;CLEAR;0
5;GROW;418
5;GET_INDEXED;24
5;SIZE;664
5;REMOVE_OBJ;0
5;ENSURE_CAP;742
5;ITERATOR;320
5;CSTR_STD;320
6;ADD_OBJ;412
6;SET_INDEXED;0
6;SORT;237
6;CLEAR;0
6;GROW;248
6;GET_INDEXED;824
6;SIZE;1597
6;REMOVE_OBJ;0
6;ENSURE_CAP;412
6;ITERATOR;237
6;CSTR_STD;237
7;ADD_OBJ;117
7;SET_INDEXED;0
7;SORT;237
7;CLEAR;0
7;GROW;115
7;SIZE;474
7;REMOVE_OBJ;0
7;ENSURE_CAP;117
7;ITERATOR;237
7;CSTR_STD;237
8;ADD_OBJ;220119
8;SET_INDEXED;75106
8;CLEAR;0
8;GROW;17
8;GET_INDEXED;179566
8;SIZE;766186
8;REMOVE_OBJ;0
8;CSTR_CAP;9052
8;ENSURE_CAP;220119
