Tracker;Size;CAPACITY
1;25;29
2;2;2
3;20564;25734
4;0;0
5;742;1510
6;412;772
7;117;230
8;218369;458038
9;218369;458038
10;6761;12548
11;0;0
12;0;0
13;0;0
14;207;429
15;7358;9790
16;55;65
17;2608;3650
18;18;38
19;4522;6103
20;5764;11396
21;521;592
22;66332;277719
23;8963;16674
24;891624;891624
25;5752;7483
26;3294;4899
27;259851;414216
28;539111;794359
29;16474;21506
30;3073;3073
31;16416;31829
32;51407;94472
33;5257;20962
34;24369;30288
35;24369;30288
36;0;0
37;3604;4757
38;2127;3139
39;910;1717
40;20;40
41;198;358
42;0;0
43;120317;250086
44;8263;15318
45;7168;8754
46;2906;5492
47;14764;18522
48;0;8474
49;0;8474
50;0;8474
51;0;2900
52;14848;14848
53;22128;42382
54;812;1216
55;474;946
56;11552;21665
57;0;0
58;3995;7964
59;421;1164
60;14506;14561
61;0;0
62;1347;1347
63;91481;126044
64;2115;4136
65;32627;51415
66;164;11160
67;15035;22068
68;106226;117427
69;4284;12480
70;0;0
71;13035;15026
72;18481;18481
73;3594;4426
74;759;1436
75;4203;6850
76;759;1436
77;0;1140
78;759;1436
79;957;1514
80;556;872
81;0;0
82;0;0
83;0;0
84;10700;10700
85;98;98
86;0;0
87;49;76
88;340;640
89;83;161
90;78;161
91;35;70
92;6;12
93;15718;19192
94;14849;28573
95;2351;4087
96;1699;3360
97;1699;3372
98;9071;11938
99;12769;21545
100;1210;2304
101;1730;3898
102;584;864
103;584;864
104;589;1338
105;589;1338
106;301;444
107;0;0
108;2597;6061
109;46;1499
110;252;330
111;72;97
112;15;30
113;0;0
114;0;0
115;18;44
116;24;24
117;4;6
118;8;16
119;8;16
120;275;516
121;898;911
122;128;232
123;6;12
124;3;6
125;10;20
126;10;10
127;8;8
128;4;4
129;0;0
