Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;512
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;1024
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;1024
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;1536
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;512
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;512
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;512
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;512
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;17
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;512
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;512
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;1586
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;2048
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;1024
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;512
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;512
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;512
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;512
