Tracker;Operation;Occurrences
0;ADD_OBJ; 5505831
0;REMOVE_INDEXED; 208223
0;SET_INDEXED; 1400240
0;SORT; 6098
0;CLEAR; 130138
0;GROW; 722352
0;GET_INDEXED; 10450533
0;ADD_ALL; 36717
0;SIZE; 7489860
0;TO_ARRAY; 25718
0;CONTAINS; 23507
0;SUBLIST; 47383
0;CSTR_COLL; 6120
0;REMOVE_OBJ; 6
0;CSTR_CAP; 733863
0;ENSURE_CAP; 5545862
0;ITERATOR; 1689636
0;CSTR_STD; 532326
0;ADD_INDEXED; 3314
0;CREATE_LIST_ITR; 61366
0;INDEX_OF; 71629
0;EMPTY; 1006167
0;REMOVE_ALL; 10472
1;ADD_OBJ;0
1;SET_INDEXED;0
1;CLEAR;0
1;GROW;0
1;GET_INDEXED;25
1;SIZE;28
1;CSTR_COLL;1
1;REMOVE_OBJ;6
2;ADD_OBJ;2
2;SET_INDEXED;0
2;CLEAR;0
2;GROW;1
2;SIZE;70
2;REMOVE_OBJ;0
2;ENSURE_CAP;2
2;ITERATOR;61
2;CSTR_STD;70
3;ADD_OBJ;19598
3;SET_INDEXED;15
3;CLEAR;0
3;GROW;6573
3;ADD_ALL;16
3;SIZE;4102
3;TO_ARRAY;16
3;REMOVE_OBJ;0
3;ENSURE_CAP;20115
3;ITERATOR;10820
3;CSTR_STD;4078
3;ADD_INDEXED;501
3;CREATE_LIST_ITR;531
4;ADD_OBJ;0
4;SET_INDEXED;0
4;CLEAR;0
4;GROW;0
4;SIZE;980
4;REMOVE_OBJ;0
4;CSTR_STD;1
5;ADD_OBJ;696
5;SET_INDEXED;0
5;SORT;304
5;CLEAR;0
5;GROW;400
5;GET_INDEXED;21
5;SIZE;629
5;REMOVE_OBJ;0
5;ENSURE_CAP;696
5;ITERATOR;304
5;CSTR_STD;304
5;INDEX_OF;21
6;ADD_OBJ;397
6;SET_INDEXED;0
6;SORT;228
6;CLEAR;0
6;GROW;238
6;GET_INDEXED;794
6;SIZE;1537
6;REMOVE_OBJ;0
6;ENSURE_CAP;397
6;ITERATOR;228
6;CSTR_STD;228
7;ADD_OBJ;115
7;SET_INDEXED;0
7;SORT;228
7;CLEAR;0
7;GROW;113
7;SIZE;456
7;REMOVE_OBJ;0
7;ENSURE_CAP;115
7;ITERATOR;228
7;CSTR_STD;228
8;ADD_OBJ;377636
8;SET_INDEXED;123051
8;CLEAR;0
8;GROW;16
8;GET_INDEXED;214399
8;SIZE;1364754
8;REMOVE_OBJ;0
8;CSTR_CAP;13248
8;ENSURE_CAP;377636
9;ADD_OBJ;377636
9;SET_INDEXED;739474
9;CLEAR;0
9;GROW;16
9;GET_INDEXED;725676
9;SIZE;13197
9;REMOVE_OBJ;0
9;CSTR_CAP;13248
9;ENSURE_CAP;377636
10;ADD_OBJ;13486
10;SET_INDEXED;0
10;CLEAR;0
10;GROW;7949
10;ADD_ALL;3786
10;SIZE;21264
10;TO_ARRAY;3786
10;CONTAINS;495
10;REMOVE_OBJ;0
10;ENSURE_CAP;17272
10;ITERATOR;502
10;CSTR_STD;13248
10;INDEX_OF;495
11;ADD_OBJ;196
11;SET_INDEXED;0
11;CLEAR;0
11;GROW;10
11;SIZE;197
11;TO_ARRAY;1
11;REMOVE_OBJ;0
11;ENSURE_CAP;196
11;CSTR_STD;1
12;ADD_OBJ;0
12;SET_INDEXED;0
12;CLEAR;0
12;GROW;0
12;SIZE;13197
12;REMOVE_OBJ;0
12;CSTR_STD;13248
13;ADD_OBJ;0
13;SET_INDEXED;0
13;CLEAR;0
13;GROW;0
13;SIZE;13197
13;REMOVE_OBJ;0
13;CSTR_STD;13248
14;ADD_OBJ;254
14;SET_INDEXED;0
14;SORT;500
14;CLEAR;0
14;GROW;85
14;SIZE;500
14;REMOVE_OBJ;0
14;ENSURE_CAP;254
14;ITERATOR;1000
14;CSTR_STD;501
15;ADD_OBJ;10490
15;SET_INDEXED;0
15;CLEAR;0
15;GROW;1597
15;SIZE;2000
15;TO_ARRAY;500
15;REMOVE_OBJ;0
15;ENSURE_CAP;10490
15;ITERATOR;500
15;CSTR_STD;501
15;EMPTY;1000
16;ADD_OBJ;44
16;SET_INDEXED;0
16;CLEAR;0
16;GROW;10
16;SIZE;505
16;REMOVE_OBJ;0
16;ENSURE_CAP;44
16;CSTR_STD;501
16;EMPTY;500
17;ADD_OBJ;3745
17;SET_INDEXED;0
17;CLEAR;0
17;GROW;668
17;SIZE;1316
17;TO_ARRAY;272
17;REMOVE_OBJ;0
17;ENSURE_CAP;3745
17;ITERATOR;272
17;CSTR_STD;501
17;EMPTY;1000
18;ADD_OBJ;133
18;SET_INDEXED;0
18;CLEAR;0
18;GROW;90
18;SIZE;713
18;TO_ARRAY;71
18;REMOVE_OBJ;0
18;ENSURE_CAP;133
18;ITERATOR;71
18;CSTR_STD;501
18;EMPTY;1000
19;ADD_OBJ;7089
19;SET_INDEXED;0
19;CLEAR;0
19;GROW;1370
19;SIZE;2000
19;TO_ARRAY;500
19;REMOVE_OBJ;0
19;ENSURE_CAP;7089
19;ITERATOR;500
19;CSTR_STD;501
19;EMPTY;1000
20;ADD_OBJ;5511
20;SET_INDEXED;0
20;CLEAR;0
20;GROW;2535
20;ADD_ALL;30
20;SIZE;1590
20;TO_ARRAY;30
20;REMOVE_OBJ;0
20;ENSURE_CAP;5541
20;ITERATOR;1531
20;CSTR_STD;1533
20;CREATE_LIST_ITR;10
21;ADD_OBJ;0
21;SET_INDEXED;0
21;CLEAR;0
21;GROW;0
21;SIZE;15919
21;REMOVE_OBJ;0
21;CSTR_STD;15919
22;ADD_OBJ;180119
22;SET_INDEXED;0
22;CLEAR;2156
22;GROW;4571
22;GET_INDEXED;137707
22;SIZE;602598
22;REMOVE_OBJ;0
22;CSTR_CAP;172154
22;ENSURE_CAP;180119
22;ITERATOR;646165
23;ADD_OBJ;17728
23;SET_INDEXED;0
23;CLEAR;0
23;GROW;7213
23;SIZE;30181
23;REMOVE_OBJ;0
23;ENSURE_CAP;17728
23;ITERATOR;2826
23;CSTR_STD;8760
24;ADD_OBJ;1446762
24;SET_INDEXED;0
24;CLEAR;0
24;GROW;0
24;GET_INDEXED;826884
24;SIZE;781854
24;SUBLIST;4844
24;REMOVE_OBJ;0
24;CSTR_CAP;256867
24;ENSURE_CAP;1446762
24;ITERATOR;250360
24;CREATE_LIST_ITR;16183
25;ADD_OBJ;8570
25;SET_INDEXED;0
25;CLEAR;0
25;GROW;1473
25;SIZE;1044
25;REMOVE_OBJ;0
25;CSTR_CAP;1044
25;ENSURE_CAP;8570
25;ITERATOR;1044
26;ADD_OBJ;7943
26;SET_INDEXED;0
26;CLEAR;0
26;GROW;1726
26;SIZE;1044
26;REMOVE_OBJ;0
26;ENSURE_CAP;7943
26;ITERATOR;2088
26;CSTR_STD;1044
27;ADD_OBJ;373682
27;SET_INDEXED;0
27;CLEAR;0
27;GROW;151151
27;SIZE;175175
27;REMOVE_OBJ;0
27;ENSURE_CAP;373682
27;ITERATOR;175175
27;CSTR_STD;175175
28;ADD_OBJ;826884
28;SET_INDEXED;11023
28;CLEAR;0
28;GROW;78274
28;GET_INDEXED;374217
28;SIZE;425247
28;REMOVE_OBJ;0
28;CSTR_CAP;175175
28;ENSURE_CAP;826884
28;ITERATOR;138336
28;CREATE_LIST_ITR;44642
28;INDEX_OF;9319
29;ADD_OBJ;29995
29;SET_INDEXED;0
29;CLEAR;0
29;GROW;3652
29;SIZE;1197
29;REMOVE_OBJ;0
29;ENSURE_CAP;29995
29;ITERATOR;1197
29;CSTR_STD;1197
30;ADD_OBJ;6155
30;SET_INDEXED;0
30;CLEAR;0
30;GROW;0
30;SIZE;2299
30;REMOVE_OBJ;0
30;CSTR_CAP;2299
30;ENSURE_CAP;6155
30;ITERATOR;5701
31;ADD_OBJ;28606
31;SET_INDEXED;0
31;CLEAR;2
31;GROW;15130
31;GET_INDEXED;28604
31;SIZE;22246
31;REMOVE_OBJ;0
31;ENSURE_CAP;28606
31;CSTR_STD;11123
32;ADD_OBJ;79791
32;REMOVE_INDEXED;20
32;SET_INDEXED;0
32;CLEAR;0
32;GROW;47583
32;GET_INDEXED;848
32;SIZE;69636
32;CONTAINS;4442
32;REMOVE_OBJ;0
32;ENSURE_CAP;79791
32;ITERATOR;66915
32;CSTR_STD;68300
32;INDEX_OF;4442
32;EMPTY;48
33;ADD_OBJ;6801
33;SET_INDEXED;0
33;CLEAR;0
33;GROW;1
33;SIZE;13372
33;REMOVE_OBJ;0
33;CSTR_CAP;6601
33;ENSURE_CAP;6801
33;ITERATOR;6499
34;ADD_OBJ;36839
34;SET_INDEXED;0
34;CLEAR;0
34;GROW;2539
34;SIZE;501
34;REMOVE_OBJ;0
34;ENSURE_CAP;36839
34;CSTR_STD;501
35;ADD_OBJ;36839
35;SET_INDEXED;0
35;CLEAR;0
35;GROW;2539
35;SIZE;37340
35;REMOVE_OBJ;0
35;ENSURE_CAP;36839
35;CSTR_STD;501
36;ADD_OBJ;0
36;SET_INDEXED;0
36;CLEAR;0
36;GROW;0
36;SIZE;500
36;REMOVE_OBJ;0
36;ITERATOR;9859
36;CSTR_STD;501
37;ADD_OBJ;4544
37;SET_INDEXED;0
37;CLEAR;0
37;GROW;837
37;SIZE;500
37;REMOVE_OBJ;0
37;ENSURE_CAP;4544
37;CSTR_STD;501
38;ADD_OBJ;3683
38;SET_INDEXED;0
38;CLEAR;0
38;GROW;793
38;SIZE;500
38;REMOVE_OBJ;0
38;ENSURE_CAP;3683
38;ITERATOR;500
38;CSTR_STD;501
39;ADD_OBJ;1799
39;SET_INDEXED;0
39;CLEAR;0
39;GROW;274
39;SIZE;500
39;REMOVE_OBJ;0
39;CSTR_CAP;501
39;ENSURE_CAP;1799
39;ITERATOR;501
40;ADD_OBJ;20
40;SET_INDEXED;0
40;SORT;76
40;CLEAR;0
40;GROW;20
40;SIZE;152
40;REMOVE_OBJ;0
40;ENSURE_CAP;20
40;ITERATOR;76
40;CSTR_STD;76
41;ADD_OBJ;161
41;SET_INDEXED;0
41;SORT;304
41;CLEAR;0
41;GROW;133
41;GET_INDEXED;161
41;SIZE;1377
41;REMOVE_OBJ;0
41;ENSURE_CAP;161
41;ITERATOR;304
41;CSTR_STD;304
42;ADD_OBJ;92
42;SET_INDEXED;0
42;CLEAR;0
42;GROW;25
42;REMOVE_OBJ;0
42;ENSURE_CAP;92
42;ITERATOR;32743
42;CSTR_STD;13
43;ADD_OBJ;214232
43;REMOVE_INDEXED;7574
43;SET_INDEXED;153676
43;CLEAR;0
43;GROW;76225
43;GET_INDEXED;3172066
43;SIZE;1375473
43;SUBLIST;41376
43;REMOVE_OBJ;0
43;ENSURE_CAP;217045
43;ITERATOR;194657
43;CSTR_STD;36839
43;ADD_INDEXED;2813
43;EMPTY;30193
43;REMOVE_ALL;10472
44;ADD_OBJ;13544
44;SET_INDEXED;0
44;CLEAR;0
44;GROW;12134
44;SIZE;34730
44;REMOVE_OBJ;0
44;ENSURE_CAP;13544
44;CSTR_STD;17365
45;ADD_OBJ;8898
45;SET_INDEXED;0
45;CLEAR;0
45;GROW;0
45;SIZE;5701
45;CONTAINS;9184
45;REMOVE_OBJ;0
45;CSTR_CAP;5701
45;ENSURE_CAP;8898
45;ITERATOR;4273
45;INDEX_OF;9184
46;ADD_OBJ;4521
46;SET_INDEXED;0
46;CLEAR;0
46;GROW;4040
46;SIZE;12178
46;REMOVE_OBJ;0
46;ENSURE_CAP;4521
46;CSTR_STD;6089
47;ADD_OBJ;28644
47;SET_INDEXED;2862
47;CLEAR;0
47;GROW;1827
47;GET_INDEXED;55697
47;SIZE;150710
47;REMOVE_OBJ;0
47;ENSURE_CAP;28644
47;ITERATOR;1002
47;CSTR_STD;501
48;ADD_OBJ;59292
48;REMOVE_INDEXED;59292
