Tracker;Size;CAPACITY
1;25;29
2;2;2
3;20071;25114
4;0;0
5;696;1460
6;397;752
7;115;226
8;376064;679655
9;376064;679655
10;13478;22082
11;0;0
12;0;0
13;0;0
14;254;382
15;10490;13268
16;44;50
17;3745;4764
18;133;294
19;7089;8962
20;5610;11110
21;0;0
22;173864;694957
23;16994;28906
24;1394590;1394590
25;8570;11141
26;7886;10814
27;361363;605325
28;793508;1174269
29;28229;35343
30;5978;5978
31;27710;52084
32;77661;133474
33;6420;27223
34;35188;42196
35;35188;42196
36;0;0
37;4543;6229
38;3570;4851
39;1797;3189
40;20;40
41;161;308
42;0;0
43;177294;368202
44;12951;24200
45;8505;10970
46;4346;8080
47;27419;34369
48;0;8182
49;0;8182
50;0;8182
51;0;2448
52;14500;14500
53;48727;78597
54;810;1184
55;474;954
56;18978;35402
57;0;0
58;10044;19990
59;354;992
60;21457;21501
61;0;0
62;3870;3870
63;23612;23612
64;274;30220
65;1175;2026
66;1175;2026
67;898;1712
68;898;1712
69;257936;348243
70;6703;12263
71;66387;102507
72;41822;41822
73;7964;10416
74;1244;2974
75;0;0
76;0;0
77;0;0
78;120;120
79;59;88
80;0;0
81;42449;46365
82;27362;32623
83;809;1562
84;25672;51555
85;17459;30305
86;23;46
87;23;46
88;857;1575
89;718;1575
90;28;56
91;5468;8896
92;4431;8792
93;4431;8830
94;41436;57487
95;162086;175447
96;6663;15652
97;0;0
98;1163;2416
99;6148;11104
100;1163;2288
101;64;2416
102;1163;2416
103;1561;1784
104;801;1584
105;436;874
106;5;10
107;65078;75179
108;143;2436
109;0;0
110;276;450
111;4311;9870
112;95;95
113;11727;17457
114;35340;56152
115;25952;27954
116;44;76
117;133;290
118;310;586
119;11;14
120;3;3
121;0;3
122;6;6
123;3;3
124;7;7
125;0;0
126;0;0
127;5;12
128;8;16
129;4;8
130;10;12
131;0;0
