Tracker;Size;CAPACITY
1;25;29
2;2;2
3;17054;21336
4;0;0
5;722;1468
6;392;730
7;107;212
8;466019;973120
9;466019;973120
10;17522;30814
11;0;0
12;0;0
13;0;0
14;378;661
15;6093;8211
16;44;50
17;3826;5027
18;0;0
19;3595;4962
20;4785;9449
21;0;0
22;163545;655814
23;9636;15965
24;944276;944276
25;9152;11893
26;3147;4319
27;279916;422512
28;548327;810569
29;17605;22689
30;3752;3752
31;31951;54713
32;90034;155257
33;5844;25292
34;23459;29852
35;23459;29852
36;0;0
37;4489;5758
38;1646;2444
39;782;1455
40;20;40
41;197;340
42;0;0
43;135178;265630
44;10326;19016
45;5376;6920
46;3325;6291
47;25333;30825
48;0;7975
49;0;7975
50;0;7975
51;0;2752
52;12325;12325
53;26357;43078
54;632;1082
55;365;730
56;10460;20162
57;0;0
58;8870;17718
59;371;1000
60;13533;13577
61;0;0
62;0;0
63;0;0
64;0;0
65;76;76
66;39;64
67;0;0
68;16065;16065
69;3326;3326
70;607;29562
71;54080;80075
72;265621;294456
73;11331;31746
74;0;0
75;126372;168302
76;2825;5672
77;39037;58132
78;16182;16182
79;4667;6303
80;11697;19338
81;1033;2666
82;2641;4262
83;6985;9051
84;5434;5823
85;32216;35470
86;3561;6161
87;21024;25522
88;1093;2136
89;24595;43475
90;0;0
91;450;718
92;268;718
93;5;10
94;2099;4148
95;2099;4236
96;11320;14352
97;1237;2540
98;5937;10566
99;1237;2536
100;8;2236
101;1237;2540
102;1201;1984
103;709;1180
104;402;810
105;33;66
106;1310;2886
107;1310;2886
108;5;10
109;5;10
110;1360;2968
111;1360;2968
112;618;1282
113;2320;4642
114;134;1110
115;13;26
116;866;1492
117;4;8
118;0;0
119;0;0
120;201;402
121;201;201
122;192;192
123;4;4
124;0;4
125;7;7
126;4;4
127;22;22
128;9;9
129;1;2
130;0;0
