Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;SET_INDEXED;org.graalvm.compiler.java.GraphBuilderPhase;26
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;852
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;426
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;426
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;426
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;852
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;1278
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;426
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;1317
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;426
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;26
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;426
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;1704
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;426
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;426
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;426
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;426
