Tracker;Size;CAPACITY
1;25;29
2;2;2
3;31793;39774
4;0;0
5;692;1446
6;397;752
7;113;222
8;370766;795666
9;370766;795666
10;13054;24013
11;0;0
12;0;0
13;0;0
14;224;408
15;14621;18715
16;55;65
17;4594;6392
18;8;14
19;7154;9521
20;8833;17556
21;2964;3437
22;136894;558161
23;12339;24256
24;1610394;1610394
25;9720;12812
26;6018;8707
27;461838;749721
28;982335;1428142
29;36902;47177
30;4120;4120
31;51881;87853
32;66778;120304
33;10221;49696
34;45742;56429
35;45742;56429
36;0;0
37;5760;7646
38;3945;5488
39;1476;2773
40;20;40
41;164;312
42;0;0
43;223121;458689
44;12764;24746
45;13398;16386
46;4651;8986
47;30325;37663
48;0;13298
49;0;13298
50;0;13298
51;0;4188
52;23026;23026
53;59399;100060
54;1314;1838
55;755;1508
56;20880;40424
57;0;0
58;8674;17722
59;401;1116
60;26431;26486
61;0;0
62;2334;2334
63;921;1683
64;16609;16609
65;1977;2313
66;992;1342
67;138;18006
68;33829;48859
69;168231;188226
70;8018;22077
71;0;0
72;26934;30351
73;916;1676
74;916;1676
75;1057;1942
76;1057;1942
77;266;362
78;105389;151652
79;1419;2504
80;39829;63703
81;3917;5304
82;30044;30044
83;927;1794
84;5679;9416
85;927;1794
86;0;1618
87;927;1794
88;1301;1696
89;697;1250
90;93;970
91;2750;5750
92;455;872
93;229;386
94;157;386
95;0;0
96;0;0
97;0;0
98;103;103
99;49;76
100;0;0
101;36;72
102;6;12
103;4060;7087
104;2933;5710
105;2933;5796
106;15359;20190
107;26257;46150
108;27495;33098
109;27204;53153
110;1975;3845
111;4622;9644
112;954;1057
113;358;526
114;7;14
115;7;14
116;0;0
117;0;0
118;0;0
119;4;8
120;8;12
121;6;12
122;54;54
123;8;16
124;4;8
125;5;10
126;5;5
127;6;6
128;0;0
