Tracker;Operation on;Type;Occurrences
1;REMOVE_OBJ;jdk.vm.ci.code.Register;6
1;GET_INDEXED;jdk.vm.ci.code.Register;25
2;ADD_OBJ;org.graalvm.compiler.replacements.amd64.AMD64GraphBuilderPlugins$1;1
2;ADD_OBJ;org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.LockEliminationPhase;795
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopUnswitchingPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.IterativeConditionalEliminationPhase;1590
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeadCodeEliminationPhase;1590
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase;2385
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopSafepointEliminationPhase;795
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.EarlyReadEliminationPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.RemoveValueProxyPhase;795
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPartialUnrollPhase;795
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopFullUnrollPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.GuardLoweringPhase;795
3;ADD_OBJ;org.graalvm.compiler.java.GraphBuilderPhase;1
3;ADD_OBJ;org.graalvm.compiler.phases.common.UseTrappingNullChecksPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.FrameStateAssignmentPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.DeoptimizationGroupingPhase;795
3;ADD_OBJ;org.graalvm.compiler.loop.phases.LoopPeelingPhase;795
3;ADD_OBJ;org.graalvm.compiler.loop.phases.ReassociateInvariantPhase;795
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.OnStackReplacementPhase;11
3;ADD_OBJ;org.graalvm.compiler.phases.common.ConvertDeoptimizeToGuardPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.PropagateDeoptimizeProbabilityPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.CanonicalizerPhase;3180
3;ADD_OBJ;org.graalvm.compiler.phases.common.FixReadsPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.IncrementalCanonicalizerPhase;1590
3;ADD_OBJ;org.graalvm.compiler.phases.common.inlining.InliningPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.ExpandLogicPhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.schedule.SchedulePhase;795
3;ADD_OBJ;org.graalvm.compiler.hotspot.phases.WriteBarrierAdditionPhase;795
3;ADD_OBJ;org.graalvm.compiler.virtual.phases.ea.PartialEscapePhase;795
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoweringPhase$Round;2433
3;ADD_OBJ;org.graalvm.compiler.phases.common.FloatingReadPhase;795
